row_id,Date,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A
7747,2025-12-05,real oviedo,mallorca,2.70,3.00,2.87
7740,2025-12-06,ath bilbao,ath madrid,3.40,3.25,2.20
7742,2025-12-06,alaves,sociedad,2.80,2.90,2.80
7745,2025-12-06,betis,barcelona,4.00,4.50,1.72
7749,2025-12-06,villarreal,getafe,1.61,3.80,5.75
7743,2025-12-07,elche,girona,2.15,3.30,3.50
7744,2025-12-07,espanol,vallecano,2.30,3.40,3.10
7746,2025-12-07,real madrid,celta,1.30,5.50,9.50
7748,2025-12-07,valencia,sevilla,2.15,3.40,3.40
7741,2025-12-08,osasuna,levante,1.75,3.80,4.50
